1,1003
2,5492
3,843
4,3081
5,810
6,3188
7,2240
8,4623
9,5488
10,227
11,600
12,6027
13,5352
14,5515
15,5860
16,4661
17,1898
18,2431
19,962
20,5361
21,4834
22,4441
23,5026
24,1293
25,3738
26,1628
27,5438
28,4249
29,1191
30,996
31,5973
32,303
33,5152
34,5019
35,3334
36,345
37,329
38,3615
39,142
40,953
41,1122
42,3111
43,4424
44,3193
45,252
46,329
47,2663
48,4592
49,79
50,4433
51,2705
52,3850
53,901
54,1518
55,4588
56,227
57,4172
58,3591
59,1573
60,2218
61,3624
62,3152
63,1448
64,6128
65,4610
66,1848
67,1904
68,5462
69,1996
70,5746
71,179
72,3594
73,5360
74,6130
75,256
76,5150
77,2839
78,5094
79,490
80,2703
81,2179
82,548
83,5060
84,401
85,2655
86,4553
87,2236
88,1614
89,3080
90,1095
91,4391
92,1985
93,593
94,4250
95,5759
96,3447
97,1567
98,3877
99,366
100,1920
101,57
102,3506
103,932
104,138
105,4183
106,5847
107,1141
108,5977
109,908
110,6121
111,580
112,6042
113,664
114,1543
115,1523
116,5520
117,3978
118,4856
119,1986
120,6167
121,1064
122,582
123,2377
124,3295
125,43
126,97
127,5087
128,4079
129,6176
130,286
131,5661
132,213
133,3132
134,20
135,5656
136,98
137,640
138,4177
139,1750
140,2647
141,4822
142,3499
143,3729
144,1025
145,4187
146,5019
147,441
148,2440
149,5957
150,68
151,1813
152,5193
153,925
154,2418
155,4555
156,1558
157,3006
158,2265
159,5028
160,914
161,4581
162,1409
163,1148
164,1264
165,475
166,707
167,684
168,1471
169,341
170,2816
171,4996
172,215
173,712
174,5627
175,1285
176,899
177,3704
178,3461
179,45
180,1388
181,4841
182,2772
183,2119
184,5788
185,773
186,2304
187,271
188,1835
189,5268
190,3189
191,4446
192,5974
193,77
194,4803
195,3191
196,5632
197,4358
198,1965
199,5615
200,5110
201,264
202,2999
203,117
204,1465
205,1447
206,3008
207,1221
208,235
209,5175
210,815
211,4772
212,1836
213,1912
214,2051
215,2618
216,604
217,2411
218,6018
219,1094
220,2811
221,1547
222,1663
223,463
224,2212
225,5665
226,2684
227,3744
228,2712
229,730
230,5920
231,5051
232,3334
233,4535
234,241
235,966
236,1001
237,2100
238,708
239,6115
240,4056
241,2422
242,3333
243,4009
244,6007
245,29
246,1013
247,4103
248,5181
249,637
250,2132
251,2516
252,839
253,846
254,5973
255,201
256,4894
257,4487
258,4618
259,5323
260,3569
261,234
262,3554
263,5387
264,5847
265,6013
266,4145
267,555
268,1458
269,5229
270,4246
271,3656
272,2211
273,15
274,3179
275,5822
276,6141
277,820
278,5300
279,1422
280,5137
281,4889
282,3965
283,5110
284,1672
285,3330
286,2767
287,4525
288,286
289,4137
290,319
291,1394
292,3143
293,3124
294,4898
295,136
296,1835
297,2244
298,753
299,3535
300,3329
301,3929
302,2561
303,2570
304,5943
305,5985
306,2940
307,222
308,4255
309,3425
310,174
311,5725
312,1632
313,1084
314,5345
315,2496
316,6058
317,5565
318,2078
319,2025
320,2262
321,3493
322,1885
323,4581
324,4396
325,1378
326,4381
327,4979
328,97
